Domain,Area,Element,Item,Year,Unit,Value
"Crops","Albania","Production","Cherries","1961","tonnes","700"
"Crops","Albania","Production","Cherries","1962","tonnes","500"
"Crops","Albania","Production","Cherries","1963","tonnes","400"
"Crops","Albania","Production","Cherries","1964","tonnes","400"
"Crops","Albania","Production","Cherries","1965","tonnes","400"
"Crops","Albania","Production","Cherries","1966","tonnes","500"
"Crops","Albania","Production","Cherries","1967","tonnes","400"
"Crops","Albania","Production","Cherries","1968","tonnes","500"
"Crops","Albania","Production","Cherries","1969","tonnes","600"
"Crops","Albania","Production","Cherries","1970","tonnes","700"
"Crops","Albania","Production","Cherries","1971","tonnes","700"
"Crops","Albania","Production","Cherries","1972","tonnes","700"
"Crops","Albania","Production","Cherries","1973","tonnes","700"
"Crops","Albania","Production","Cherries","1974","tonnes","800"
"Crops","Albania","Production","Cherries","1975","tonnes","800"
"Crops","Albania","Production","Cherries","1976","tonnes","850"
"Crops","Albania","Production","Cherries","1977","tonnes","850"
"Crops","Albania","Production","Cherries","1978","tonnes","900"
"Crops","Albania","Production","Cherries","1979","tonnes","900"
"Crops","Albania","Production","Cherries","1980","tonnes","800"
"Crops","Albania","Production","Cherries","1981","tonnes","500"
"Crops","Albania","Production","Cherries","1982","tonnes","500"
"Crops","Albania","Production","Cherries","1983","tonnes","500"
"Crops","Albania","Production","Cherries","1984","tonnes","400"
"Crops","Albania","Production","Cherries","1985","tonnes","300"
"Crops","Albania","Production","Cherries","1986","tonnes","700"
"Crops","Albania","Production","Cherries","1987","tonnes","500"
"Crops","Albania","Production","Cherries","1988","tonnes","500"
"Crops","Albania","Production","Cherries","1989","tonnes","700"
"Crops","Albania","Production","Cherries","1990","tonnes","500"
"Crops","Albania","Production","Cherries","1991","tonnes","473"
"Crops","Albania","Production","Cherries","1992","tonnes","553"
"Crops","Albania","Production","Cherries","1993","tonnes","400"
"Crops","Albania","Production","Cherries","1994","tonnes","1607"
"Crops","Albania","Production","Cherries","1995","tonnes","3000"
"Crops","Albania","Production","Cherries","1996","tonnes","5100"
"Crops","Albania","Production","Cherries","1997","tonnes","4300"
"Crops","Albania","Production","Cherries","1998","tonnes","4500"
"Crops","Albania","Production","Cherries","1999","tonnes","4500"
"Crops","Albania","Production","Cherries","2000","tonnes","5000"
"Crops","Albania","Production","Cherries","2001","tonnes","6800"
"Crops","Albania","Production","Cherries","2002","tonnes","6000"
"Crops","Albania","Production","Cherries","2003","tonnes","6300"
"Crops","Albania","Production","Cherries","2004","tonnes","6900"
"Crops","Albania","Production","Cherries","2005","tonnes","7200"
"Crops","Albania","Production","Cherries","2006","tonnes","7680"
"Crops","Albania","Production","Cherries","2007","tonnes","7500"
"Crops","Albania","Production","Cherries","2008","tonnes","8000"
"Crops","Albania","Production","Cherries","2009","tonnes","10871"
"Crops","Albania","Production","Cherries","2010","tonnes","12528"
"Crops","Albania","Production","Cherries","2011","tonnes","14400"
"Crops","Albania","Production","Cherries","2012","tonnes","16970"
"Crops","Albania","Production","Cherries","2013","tonnes","18920"
"Crops","Albania","Production","Cherries","2014","tonnes","17730"
"Crops","Albania","Production","Cherries","2015","tonnes","20147"
"Crops","Albania","Production","Cherries","2016","tonnes","19261"
"Crops","Algeria","Production","Cherries","1973","tonnes","300"
"Crops","Algeria","Production","Cherries","1974","tonnes","600"
"Crops","Algeria","Production","Cherries","1975","tonnes","1000"
"Crops","Algeria","Production","Cherries","1976","tonnes","1500"
"Crops","Algeria","Production","Cherries","1977","tonnes","1925"
"Crops","Algeria","Production","Cherries","1978","tonnes","1506"
"Crops","Algeria","Production","Cherries","1979","tonnes","1450"
"Crops","Algeria","Production","Cherries","1980","tonnes","2170"
"Crops","Algeria","Production","Cherries","1981","tonnes","2508"
"Crops","Algeria","Production","Cherries","1982","tonnes","1601"
"Crops","Algeria","Production","Cherries","1983","tonnes","3012"
"Crops","Algeria","Production","Cherries","1984","tonnes","2623"
"Crops","Algeria","Production","Cherries","1985","tonnes","3051"
"Crops","Algeria","Production","Cherries","1986","tonnes","5472"
"Crops","Algeria","Production","Cherries","1987","tonnes","3733"
"Crops","Algeria","Production","Cherries","1988","tonnes","3720"
"Crops","Algeria","Production","Cherries","1989","tonnes","4459"
"Crops","Algeria","Production","Cherries","1990","tonnes","2684"
"Crops","Algeria","Production","Cherries","1991","tonnes","3095"
"Crops","Algeria","Production","Cherries","1992","tonnes","4066"
"Crops","Algeria","Production","Cherries","1993","tonnes","5056"
"Crops","Algeria","Production","Cherries","1994","tonnes","3012"
"Crops","Algeria","Production","Cherries","1995","tonnes","5296"
"Crops","Algeria","Production","Cherries","1996","tonnes","3211"
"Crops","Algeria","Production","Cherries","1997","tonnes","3345"
"Crops","Algeria","Production","Cherries","1998","tonnes","2596"
"Crops","Algeria","Production","Cherries","1999","tonnes","3875"
"Crops","Algeria","Production","Cherries","2000","tonnes","4168"
"Crops","Algeria","Production","Cherries","2001","tonnes","3000"
"Crops","Algeria","Production","Cherries","2002","tonnes","4376"
"Crops","Algeria","Production","Cherries","2003","tonnes","2565"
"Crops","Algeria","Production","Cherries","2004","tonnes","3156"
"Crops","Algeria","Production","Cherries","2005","tonnes","3081"
"Crops","Algeria","Production","Cherries","2006","tonnes","5003"
"Crops","Algeria","Production","Cherries","2007","tonnes","1681"
"Crops","Algeria","Production","Cherries","2008","tonnes","4553"
"Crops","Algeria","Production","Cherries","2009","tonnes","5839"
"Crops","Algeria","Production","Cherries","2010","tonnes","5073"
