Domain,Area,Element,Item,Year,Unit,Value
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","1995","USD","561"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","1996","USD","555"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","1997","USD","483.4"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","1998","USD","438.2"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","1999","USD","493.9"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","2000","USD","535.8"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","2001","USD","539.4"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","2002","USD","570.8"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","2003","USD","656.5"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","2004","USD","764.7"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","2005","USD","1001.3"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","2006","USD","1172.2"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","2007","USD","1050.6"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","2008","USD","1370.8"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","2009","USD","1126.6"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","2010","USD","894.8"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","2011","USD","664.1"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","2012","USD","952.1"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","2013","USD","1618.3"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","2014","USD","1358.9"
"Producer Prices - Annual","Albania","Producer Price (USD/tonne)","Cherries","2015","USD","746.3"
