Domain,Area,Element,Item,Year,Unit,Value
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","1993","USD","0.221312"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","1994","USD","0.819408"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","1995","USD","1.682893"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","1996","USD","2.830651"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","1997","USD","2.078788"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","1998","USD","1.971675"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","1999","USD","2.222374"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","2000","USD","2.679017"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","2001","USD","3.668123"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","2002","USD","3.424792"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","2003","USD","4.135783"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","2004","USD","5.276705"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","2005","USD","7.209354"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","2006","USD","9.002748"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","2007","USD","7.879206"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","2008","USD","10.96614"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","2009","USD","12.247"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","2010","USD","11.209774"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","2011","USD","9.562421"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","2012","USD","16.156729"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","2013","USD","30.617589"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","2014","USD","24.092893"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","2015","USD","15.034952"
"Value of Agricultural Production","Albania","Gross Production Value (current million US$)","Cherries","2016","USD","22.529698"
"Value of Agricultural Production","Algeria","Gross Production Value (current million US$)","Cherries","1991","USD","4.320598"
"Value of Agricultural Production","Algeria","Gross Production Value (current million US$)","Cherries","1992","USD","6.179047"
"Value of Agricultural Production","Algeria","Gross Production Value (current million US$)","Cherries","1993","USD","7.905588"
"Value of Agricultural Production","Algeria","Gross Production Value (current million US$)","Cherries","1994","USD","4.105379"
"Value of Agricultural Production","Algeria","Gross Production Value (current million US$)","Cherries","1995","USD","6.943074"
"Value of Agricultural Production","Algeria","Gross Production Value (current million US$)","Cherries","1996","USD","4.39549"
"Value of Agricultural Production","Algeria","Gross Production Value (current million US$)","Cherries","1997","USD","5.093201"
"Value of Agricultural Production","Algeria","Gross Production Value (current million US$)","Cherries","1998","USD","5.666354"
