Domain,Area,Element,Item,Year,Unit,Value
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1961","1000 Int. $","889.8904"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1962","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1963","1000 Int. $","508.5088"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1964","1000 Int. $","508.5088"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1965","1000 Int. $","508.5088"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1966","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1967","1000 Int. $","508.5088"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1968","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1969","1000 Int. $","762.7632"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1970","1000 Int. $","889.8904"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1971","1000 Int. $","889.8904"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1972","1000 Int. $","889.8904"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1973","1000 Int. $","889.8904"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1974","1000 Int. $","1017.0176"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1975","1000 Int. $","1017.0176"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1976","1000 Int. $","1080.5812"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1977","1000 Int. $","1080.5812"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1978","1000 Int. $","1144.1448"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1979","1000 Int. $","1144.1448"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1980","1000 Int. $","1017.0176"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1981","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1982","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1983","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1984","1000 Int. $","508.5088"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1985","1000 Int. $","381.3816"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1986","1000 Int. $","889.8904"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1987","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1988","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1989","1000 Int. $","889.8904"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1990","1000 Int. $","635.636"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1991","1000 Int. $","601.718467"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1992","1000 Int. $","702.761938"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1993","1000 Int. $","508.5088"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1994","1000 Int. $","2043.265816"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1995","1000 Int. $","3813.816"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1996","1000 Int. $","6483.4872"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1997","1000 Int. $","5466.4696"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1998","1000 Int. $","5720.724"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","1999","1000 Int. $","5720.724"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2000","1000 Int. $","6356.36"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2001","1000 Int. $","8644.6496"
"Value of Agricultural Production","Albania","Gross Production Value (constant 2004-2006 1000 I$)","Cherries","2002","1000 Int. $","7627.632"
