Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Afghanistan","Export Quantity","Cherries","2014","tonnes","0"
"Crops and livestock products","Afghanistan","Export Quantity","Cherries","2015","tonnes","1"
"Crops and livestock products","Afghanistan","Export Quantity","Cherries","2016","tonnes","96"
"Crops and livestock products","Afghanistan","Export Value","Cherries","2014","1000 US$","0"
"Crops and livestock products","Afghanistan","Export Value","Cherries","2015","1000 US$","2"
"Crops and livestock products","Afghanistan","Export Value","Cherries","2016","1000 US$","141"
"Crops and livestock products","Afghanistan","Export Quantity","Strawberries","2014","tonnes","0"
"Crops and livestock products","Afghanistan","Export Quantity","Strawberries","2016","tonnes","273"
"Crops and livestock products","Afghanistan","Export Value","Strawberries","2014","1000 US$","0"
"Crops and livestock products","Afghanistan","Export Value","Strawberries","2016","1000 US$","482"
"Crops and livestock products","Albania","Export Quantity","Blueberries","1961","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1962","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1963","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1964","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1965","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1966","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1967","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1968","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1969","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1970","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1971","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1972","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1973","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1974","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1975","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1976","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1977","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1978","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1979","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1980","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1981","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1982","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1983","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1984","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1985","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1986","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1987","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1988","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1989","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1990","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1991","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1992","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1993","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1994","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1995","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1996","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1997","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1998","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","1999","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","2000","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","2001","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","2002","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","2003","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","2004","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","2005","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","2006","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","2007","tonnes",""
"Crops and livestock products","Albania","Export Quantity","Blueberries","2008","tonnes","0"
"Crops and livestock products","Albania","Export Quantity","Blueberries","2009","tonnes","0"
"Crops and livestock products","Albania","Export Quantity","Blueberries","2010","tonnes","3"
"Crops and livestock products","Albania","Export Quantity","Blueberries","2011","tonnes","0"
"Crops and livestock products","Albania","Export Quantity","Blueberries","2012","tonnes","0"
"Crops and livestock products","Albania","Export Quantity","Blueberries","2013","tonnes","0"
"Crops and livestock products","Albania","Export Value","Blueberries","1961","1000 US$",""
"Crops and livestock products","Albania","Export Value","Blueberries","1962","1000 US$",""
"Crops and livestock products","Albania","Export Value","Blueberries","1963","1000 US$",""
"Crops and livestock products","Albania","Export Value","Blueberries","1964","1000 US$",""
"Crops and livestock products","Albania","Export Value","Blueberries","1965","1000 US$",""
"Crops and livestock products","Albania","Export Value","Blueberries","1966","1000 US$",""
"Crops and livestock products","Albania","Export Value","Blueberries","1967","1000 US$",""
"Crops and livestock products","Albania","Export Value","Blueberries","1968","1000 US$",""
"Crops and livestock products","Albania","Export Value","Blueberries","1969","1000 US$",""
"Crops and livestock products","Albania","Export Value","Blueberries","1970","1000 US$",""
"Crops and livestock products","Albania","Export Value","Blueberries","1971","1000 US$",""
"Crops and livestock products","Albania","Export Value","Blueberries","1972","1000 US$",""
"Crops and livestock products","Albania","Export Value","Blueberries","1973","1000 US$",""
"Crops and livestock products","Albania","Export Value","Blueberries","1974","1000 US$",""
"Crops and livestock products","Albania","Export Value","Blueberries","1975","1000 US$",""
"Crops and livestock products","Albania","Export Value","Blueberries","1976","1000 US$",""
